uid,nces_school_id,school_name,nces_district_id,district_name,date,school_year,year,time,day_of_week,city,state,school_type,enrollment,killed,injured,casualties,shooting_type,age_shooter1,gender_shooter1,race_ethnicity_shooter1,shooter_relationship1,shooter_deceased1,deceased_notes1,white,black,hispanic,asian,american_indian_alaska_native,resource_officer,weapon,weapon_source,lat,long,staffing,low_grade,high_grade,lunch,county,state_fips,county_fips,ulocale,party,gfi,state_pop
239,80345006493,STEM School Highlands Ranch,803450,Douglas County School District NO. Re 1,5/7/2019,2018-2019,2019,1:52 PM,Tuesday,Highlands Ranch,Colorado,public,1850,1,8,9,indiscriminate,16,m,w,student,0,unknown,1074,5,184,242,5,1,"Glock 21 .45-caliber semi-automatic pistol, Beretta M9 9mm semi-automatic pistol, Taurus Revolver and a Ruger 10/22 .22-caliber semi-automatic rifle",parent,39.5559,-104.9979,82.62,KG,12,89,Douglas County,8,8035,21,dem,39,5961083
243,,Menta Academy North,,,6/10/2019,2018-2019,2019,1:45 PM,Monday,Waukegan,Illinois,private,100,0,0,0,targeted,27,m,h,unknown,0,unknown,,,,,,1,2 handguns,unknown,42.35333175,-87.83950925,0,PK,12,,Lake County,17,17097,21,dem,29,12569321
245,1.10E+11,Hendley Elementary School,1100030,District Of Columbia Public Schools,6/12/2019,2018-2019,2019,4:20 PM,Wednesday,Washington,District of Columbia,public,379,0,0,0,unclear,0,,unknown,unknown,,unknown,0,378,0,1,0,0,unknown,unknown,38.828872,-76.999555,29.5,PK,5,,District of Columbia,11,11001,11,dem,51,718355
244,10243002084,Blount Elementary School,102430,Montgomery County,8/8/2019,2019-2020,2019,7:26 AM,Thursday,Montgomery,Alabama,public,150,0,0,0,targeted,38,m,b,father of student,0,unknown,150,116,25,121,1,0,pistol,unknown,32.3106,-86.1324,25,KG,5,65,Montgomery County,1,1101,41,rep,15,4949697
242,62271003087,Hollenbeck Middle School,622710,Los Angeles Unified,8/27/2019,2019-2020,2019,11:00 AM,Tuesday,Los Angeles,California,public,1023,0,1,1,unclear,0,,unknown,unknown,,unknown,11,4,999,4,3,0,unknown,unknown,34.036765,-118.212583,47.83,6,8,982,Los Angeles County,6,6037,11,dem,48,39613493
241,4.50E+11,South Aiken High School,4500720,Aiken 01,9/10/2019,2019-2020,2019,unknown,Tuesday,Aiken,South Carolina,public,1405,0,0,0,unclear,0,,unknown,unknown,,unknown,840,391,99,19,6,0,unknown,unknown,33.521766,-81.71303,78.8,9,12,441,Aiken County,45,45003,21,rep,36,5342388
240,1.10E+11,Aiton Elementary School,1100030,District Of Columbia Public Schools,9/25/2019,2019-2020,2019,unknown,Wednesday,Washington,District of Columbia,public,243,0,0,0,targeted,0,,unknown,unknown,,unknown,0,238,5,0,0,0,unknown,unknown,38.896669,-76.933728,21,PK,5,,District of Columbia,11,11001,11,dem,51,718355
246,63583006130,Ridgway High School,635830,Santa Rosa High,10/22/2019,2019-2020,2019,9:00 AM,Tuesday,Santa Rosa,California,public,257,0,1,1,targeted,17,,unknown,student,,unknown,64,4,163,4,5,0,unknown,unknown,38.4497,-122.7226,19.08,11,12,139,Sonoma County,6,6097,12,dem,48,39613493
247,2.40E+11,Achievement Academy,2400090,Baltimore City Public Schools,11/11/2019,2019-2020,2019,2:00 PM,Monday,Baltimore,Maryland,public,343,0,1,1,targeted,0,,unknown,unknown,,unknown,4,332,5,0,1,0,unknown,unknown,39.366066,-76.571382,20,9,12,343,Baltimore City,24,24510,11,dem,43,6075314
284,,Esteban Torres High School,622710,,11/13/2019,2019-2020,2019,9:00 AM,Wednesday,Los Angeles,California,public,1876,1,0,1,targeted,0,,unknown,sheriff's deputy,,unknown,9,20,1836,8,2,1,unknown,police,34.041846,-118.175531,97.75,9,12,1802,Los Angeles County,6,6037,21,dem,48,39613493
248,64251006961,Saugus High School,642510,William S. Hart Union High,11/14/2019,2019-2020,2019,7:38 AM,Thursday,Saugus,California,public,2441,2,3,5,indiscriminate,16,m,unknown,student,1,suicide,1294,47,772,176,3,0,.45 caliber 1911 pistol,ghost gun,34.441924,-118.518128,93.98,9,12,406,Los Angeles County,6,6037,21,dem,48,39613493
249,5.52E+11,Waukesha South High School ,5515780,Waukesha School District,12/2/2019,2019-2020,2019,9:00 AM,Monday,Waukesha,Wisconsin,public,946,0,1,1,targeted,0,m,w,resource officer,0,unknown,479,76,329,25,3,1,handgun,department issued,42.993,-88.2237,73.3,9,12,395,Waukesha County,55,55133,13,dem,35,5867518
250,5.51E+11,Oshkosh West High School,5511190,Oshkosh Area School District,12/3/2019,2019-2020,2019,9:00 AM,Tuesday,Oshkosh,Wisconsin,public,1702,0,1,1,unclear,0,m,w,resource officer,0,unknown,1475,36,70,79,4,1,handgun,department issued,44.0225,-88.5736,116.1,9,12,435,Winnebago County,55,55139,13,dem,35,5867518
